year,point,train_rmse,test_rmse
2011,211,0.012978577445941967,0.019348605758572623
2012,278,0.012978577445941967,0.019348605758572623
2013,431,0.012978577445941967,0.019348605758572623
2014,299,0.012978577445941967,0.019348605758572623
2015,439,0.012978577445941967,0.019348605758572623
2016,477,0.012978577445941967,0.019348605758572623
2017,366,0.012978577445941967,0.019348605758572623
2018,500,0.012978577445941967,0.019348605758572623
2019,401,0.012978577445941967,0.019348605758572623
2020,1170,0.012978577445941967,0.019348605758572623
2021,-46,0.012978577445941967,0.019348605758572623
