year,point,train_rmse,test_rmse
2011,665,0.009563970698111398,0.016251970539354333
2012,260,0.009563970698111398,0.016251970539354333
2013,378,0.009563970698111398,0.016251970539354333
2014,392,0.009563970698111398,0.016251970539354333
2015,716,0.009563970698111398,0.016251970539354333
2016,539,0.009563970698111398,0.016251970539354333
2017,387,0.009563970698111398,0.016251970539354333
2018,172,0.009563970698111398,0.016251970539354333
2019,748,0.009563970698111398,0.016251970539354333
2020,931,0.009563970698111398,0.016251970539354333
2021,70,0.009563970698111398,0.016251970539354333
